transcript ID,fold induction,family,location
NM_099229,631342,P53,peroxisome
NM_073072,452240,TIMP,cytosol
NM_070499,395621,TER,peroxisome
NM_065273,432647,TER,mitochondria
NM_076325,517990,TER,mitochondria
NM_036087,870304,LIP,cytosol
NM_047580,792920,TGF-B,nucleus
NM_017290,334798,TNF,golgi
NM_005405,538717,MAPK,peroxisome
NM_084183,567446,FOS,golgi
NM_058500,88157,nuclear receptor,golgi
NM_020114,502559,TIMP,golgi
NM_066294,673085,TIMP,nucleus
NM_052311,86668,LIP,golgi
NM_033731,601973,P53,nucleus
NM_026167,56078,KIN,cytosol
NM_045270,249683,TNF,ER
NM_076068,129292,JUN,nucleus
NM_080940,844863,KAR,cytosol
NM_023232,68897,nuclear receptor,peroxisome
NM_043373,874377,TER,golgi
NM_066563,969491,FOS,golgi
NM_092750,420430,JUN,cytosol
NM_027158,579830,LIP,nucleus
NM_040186,171287,KAR,nucleus
NM_028476,240348,KAR,ER
NM_095517,915563,KIN,peroxisome
NM_039900,639900,FOS,nucleus
NM_035351,401069,FOS,golgi
NM_085751,206301,TNF,cytosol
NM_011998,360011,KIN,cytosol
NM_007052,240834,TER,cytosol
NM_012840,238455,JUN,peroxisome
NM_095974,554889,P53,golgi
NM_094603,578416,MAPK,golgi
NM_032050,571016,LIP,golgi
NM_072527,410342,JUN,peroxisome
NM_005325,124322,MAPK,mitochondria
NM_008393,271733,MAPK,cytosol
NM_003864,345202,FOS,cytosol
NM_017884,545858,TNF,peroxisome
NM_007394,801282,KIN,peroxisome
NM_083827,146532,TGF-B,cytosol
NM_084454,653041,TER,nucleus
NM_053378,870031,KIN,nucleus
NM_039906,292129,JUN,nucleus
NM_072162,580479,TGF-B,peroxisome
NM_078027,753118,JUN,nucleus
NM_010282,747685,JUN,golgi
NM_026155,67885,KAR,golgi
NM_086120,774436,KAR,nucleus
NM_011575,985910,LIP,cytosol
NM_032874,841468,TER,ER
NM_085444,935341,nuclear receptor,ER
NM_076179,964263,KIN,cytosol
NM_056207,486725,TGF-B,nucleus
NM_041088,216248,TIMP,cytosol
NM_086135,806941,TIMP,peroxisome
NM_056805,655341,TNF,nucleus
NM_000005,790846,nuclear receptor,peroxisome
NM_050330,849683,nuclear receptor,peroxisome
NM_042508,49925,TER,peroxisome
NM_079710,281199,KIN,nucleus
NM_043392,143956,nuclear receptor,golgi
NM_074974,841187,LIP,ER
NM_004673,758679,TNF,mitochondria
NM_000269,84483,KIN,mitochondria
NM_000146,775585,TIMP,ER
NM_050264,157456,TNF,mitochondria
NM_086023,756593,MAPK,golgi
NM_001687,318804,TNF,mitochondria
NM_026439,1283,FOS,golgi
NM_074717,999857,KIN,nucleus
NM_080844,170247,nuclear receptor,ER
NM_086085,905587,TER,nucleus
NM_061543,759207,MAPK,cytosol
NM_000585,30964,TNF,golgi
NM_056707,412562,TGF-B,mitochondria
NM_011497,492034,KIN,mitochondria
NM_049407,562147,TGF-B,peroxisome
NM_079904,959195,KIN,cytosol
NM_091892,793686,MAPK,nucleus
NM_073184,893587,P53,mitochondria
NM_093224,574672,TIMP,peroxisome
NM_071499,619205,JUN,mitochondria
