transcript ID,fold induction,family,location
NM_064149,343877,TIMP,cytosol
NM_045244,652673,FOS,nucleus
NM_056606,819050,LIP,ER
NM_074657,591574,FOS,cytosol
NM_001163,65716,TGF-B,nucleus
NM_057776,337347,nuclear receptor,mitochondria
NM_045096,90105,nuclear receptor,golgi
NM_098978,375485,JUN,mitochondria
NM_008100,361064,FOS,ER
NM_085388,6053,TNF,cytosol
NM_019115,895198,KIN,cytosol
NM_096741,751397,MAPK,ER
NM_017132,597196,TGF-B,cytosol
NM_041579,70212,FOS,ER
NM_043988,495817,TNF,golgi
NM_092380,165417,KAR,nucleus
NM_002968,293699,FOS,peroxisome
NM_079365,680084,TNF,ER
NM_011374,462129,TIMP,ER
NM_023531,402284,TNF,nucleus
NM_047841,986706,LIP,cytosol
NM_020600,810581,JUN,mitochondria
NM_004588,167164,nuclear receptor,cytosol
NM_086685,685575,TGF-B,nucleus
NM_044178,355981,TNF,nucleus
NM_013360,645450,KAR,nucleus
NM_010817,936381,nuclear receptor,golgi
NM_060701,652585,TNF,ER
NM_064124,953476,nuclear receptor,cytosol
NM_003771,122566,KIN,ER
NM_003947,229419,LIP,golgi
NM_036640,101879,TIMP,mitochondria
NM_079716,861548,TIMP,nucleus
NM_067081,995276,KIN,mitochondria
NM_083570,270656,LIP,mitochondria
NM_079986,671276,P53,ER
NM_097488,417853,LIP,peroxisome
NM_061662,393230,JUN,peroxisome
NM_087154,476495,TIMP,cytosol
NM_045649,276117,TGF-B,nucleus
NM_005358,80166,TIMP,mitochondria
NM_079464,475349,KIN,mitochondria
NM_067831,743887,MAPK,cytosol
NM_045581,188036,LIP,mitochondria
NM_064122,162083,TNF,mitochondria
NM_063583,183935,TGF-B,nucleus
NM_066119,941848,TIMP,mitochondria
NM_083964,30545,nuclear receptor,peroxisome
NM_019107,494910,KIN,mitochondria
NM_073844,893283,MAPK,mitochondria
NM_013016,586990,TNF,mitochondria
NM_092987,559987,KAR,mitochondria
NM_084449,562189,TGF-B,cytosol
NM_050731,210291,KIN,ER
NM_073711,52086,TIMP,nucleus
NM_017178,499298,TGF-B,ER
NM_053111,106743,nuclear receptor,mitochondria
NM_045965,196062,TIMP,peroxisome
NM_029559,796469,TGF-B,nucleus
NM_058775,464598,TIMP,nucleus
NM_054372,534868,P53,ER
NM_091017,247112,KIN,mitochondria
NM_040807,952072,TER,ER
NM_055524,59354,JUN,peroxisome
NM_078011,913747,TNF,golgi
NM_059426,469639,TIMP,ER
NM_035635,359497,KAR,ER
NM_002446,35065,MAPK,peroxisome
NM_014488,164606,JUN,ER
NM_048546,117727,TGF-B,cytosol
NM_068733,613916,TNF,cytosol
NM_015459,844740,FOS,golgi
NM_089214,125891,TIMP,mitochondria
NM_006546,522279,nuclear receptor,ER
NM_033814,916220,FOS,ER
NM_028319,523469,TGF-B,nucleus
NM_008868,471144,TNF,golgi
NM_091976,179763,TNF,mitochondria
NM_017163,49533,FOS,mitochondria
NM_055687,118852,LIP,mitochondria
NM_076409,157037,KIN,mitochondria
NM_028472,235731,FOS,cytosol
NM_050543,212136,TER,golgi
NM_074974,294723,P53,ER
NM_082017,254579,TIMP,cytosol
NM_023609,123228,KIN,peroxisome
NM_016249,845542,LIP,cytosol
NM_087031,954592,LIP,nucleus
NM_083937,693943,P53,golgi
NM_004999,626396,TNF,mitochondria
NM_046497,673688,MAPK,golgi
NM_081440,825493,P53,cytosol
NM_045777,342830,TGF-B,cytosol
NM_017795,408392,P53,peroxisome
NM_020082,708710,KAR,cytosol
NM_050716,657262,LIP,ER
NM_083140,126291,KIN,mitochondria
NM_034907,761615,TGF-B,ER
NM_058939,797732,KAR,cytosol
NM_004570,811621,LIP,ER
NM_001643,526094,TGF-B,golgi
NM_093485,859292,TNF,mitochondria
NM_012847,616994,TNF,ER
