transcript ID,fold induction,family,location
NM_013384,642249,FOS,peroxisome
NM_002910,634117,TGF-B,cytosol
NM_025291,679053,TGF-B,ER
NM_031571,552407,LIP,mitochondria
NM_036069,402405,FOS,golgi
NM_085406,614675,TNF,mitochondria
NM_077448,163370,KIN,cytosol
NM_045187,905039,KAR,cytosol
NM_068107,643244,MAPK,peroxisome
NM_038644,643151,FOS,golgi
NM_061149,894961,TER,ER
NM_073710,219943,nuclear receptor,ER
NM_003637,509733,FOS,cytosol
NM_069631,953708,KAR,golgi
NM_009021,376146,KAR,golgi
NM_068152,767116,TIMP,cytosol
NM_077240,220361,nuclear receptor,peroxisome
NM_013937,714101,MAPK,ER
NM_074207,9511,FOS,mitochondria
NM_026602,133214,LIP,mitochondria
NM_072146,992249,TGF-B,mitochondria
NM_007652,765654,KIN,peroxisome
NM_099447,328756,KIN,nucleus
NM_079853,208216,nuclear receptor,mitochondria
NM_076783,516277,TIMP,nucleus
NM_078980,742411,nuclear receptor,ER
NM_094222,889070,TER,peroxisome
NM_077713,873831,LIP,golgi
NM_026319,978827,TGF-B,cytosol
NM_025298,366602,JUN,ER
NM_055909,477296,LIP,nucleus
NM_022387,828856,nuclear receptor,cytosol
NM_087755,691524,LIP,nucleus
NM_098528,424150,KAR,ER
NM_077773,850124,KAR,peroxisome
NM_046995,773969,LIP,golgi
NM_053240,758460,LIP,nucleus
NM_011413,442352,LIP,golgi
NM_005013,615003,LIP,golgi
NM_046431,332072,TGF-B,cytosol
NM_080274,166165,nuclear receptor,peroxisome
NM_085650,113248,KIN,peroxisome
NM_023556,627663,TNF,cytosol
NM_078578,986679,JUN,mitochondria
NM_039999,917774,MAPK,golgi
NM_077577,418014,FOS,nucleus
NM_089876,449175,LIP,mitochondria
NM_077769,378293,LIP,nucleus
NM_011041,219640,KIN,nucleus
NM_043569,320608,KIN,golgi
NM_065916,629504,FOS,nucleus
NM_091637,710363,MAPK,peroxisome
NM_052613,962086,nuclear receptor,ER
NM_070808,191971,nuclear receptor,cytosol
NM_016213,113640,MAPK,golgi
NM_078872,351644,TIMP,mitochondria
NM_030735,615617,FOS,nucleus
NM_028353,64412,KAR,nucleus
NM_023434,629105,TGF-B,nucleus
NM_033356,234763,JUN,ER
NM_042190,561963,P53,nucleus
NM_017723,170613,TNF,golgi
NM_065240,376450,TGF-B,ER
NM_011497,965154,TGF-B,peroxisome
NM_068039,884640,KAR,peroxisome
NM_074829,259619,TNF,nucleus
NM_072659,246110,KAR,nucleus
NM_086521,310600,TNF,cytosol
NM_087243,816837,TER,golgi
NM_030864,189553,TGF-B,golgi
NM_001503,351678,TIMP,nucleus
NM_048413,391418,JUN,mitochondria
NM_090484,595542,MAPK,nucleus
NM_070814,685105,TGF-B,golgi
NM_074589,902384,JUN,golgi
NM_027869,115956,TIMP,golgi
NM_011013,520143,TIMP,nucleus
NM_072066,865722,TER,cytosol
NM_028161,195840,JUN,nucleus
NM_007250,450176,TGF-B,ER
NM_013257,469033,JUN,nucleus
NM_069041,568803,KAR,mitochondria
NM_013062,452572,TER,ER
NM_007030,66280,FOS,mitochondria
NM_032852,277203,KAR,mitochondria
NM_068557,994542,KAR,golgi
NM_043349,657838,FOS,ER
NM_010740,959599,LIP,golgi
NM_094696,560595,LIP,golgi
NM_050032,457651,TIMP,cytosol
NM_077504,414622,KAR,nucleus
NM_000781,851185,TGF-B,cytosol
NM_081427,460024,TNF,ER
NM_069755,394747,JUN,golgi
NM_062316,243833,KIN,peroxisome
NM_089190,970084,KAR,golgi
NM_081122,700334,KIN,cytosol
NM_085572,212403,KIN,nucleus
NM_023545,168429,FOS,mitochondria
NM_024996,700385,TNF,golgi
NM_054157,160027,TER,mitochondria
NM_010636,280008,nuclear receptor,nucleus
NM_088554,967023,P53,mitochondria
NM_090028,361187,KAR,cytosol
NM_014735,501512,TIMP,nucleus
NM_004176,17300,KIN,peroxisome
NM_013486,895894,JUN,nucleus
NM_017164,225132,KAR,cytosol
NM_021487,960891,TNF,golgi
NM_022233,18308,P53,nucleus
NM_040585,132061,FOS,peroxisome
NM_031452,675227,TGF-B,nucleus
NM_071652,668470,FOS,ER
NM_081226,71910,TIMP,peroxisome
NM_034688,854160,LIP,ER
NM_039147,381162,TGF-B,peroxisome
NM_096773,274851,P53,golgi
NM_009467,229926,MAPK,ER
NM_085978,682561,TGF-B,cytosol
NM_046998,916005,TNF,golgi
NM_007197,498006,MAPK,golgi
NM_055932,638405,nuclear receptor,ER
NM_080464,211205,FOS,nucleus
NM_068479,876002,FOS,cytosol
NM_012730,110255,KIN,peroxisome
NM_027419,646372,TER,cytosol
NM_055762,590202,LIP,golgi
NM_078705,491947,nuclear receptor,nucleus
NM_094072,877907,nuclear receptor,ER
NM_033600,893328,TIMP,ER
NM_017349,825431,LIP,mitochondria
NM_081794,151997,P53,mitochondria
NM_076007,523367,TGF-B,mitochondria
NM_081088,209724,TNF,golgi
NM_030994,495452,TGF-B,cytosol
NM_096534,758381,TIMP,peroxisome
NM_084364,833317,KAR,cytosol
NM_063464,912264,LIP,cytosol
NM_020465,584552,nuclear receptor,cytosol
NM_066405,380913,TNF,mitochondria
NM_010093,168568,JUN,golgi
NM_016339,407315,TGF-B,mitochondria
NM_001588,273515,KAR,golgi
NM_007145,539315,TER,ER
NM_000065,789548,LIP,cytosol
NM_056827,639603,KIN,peroxisome
NM_093280,924760,KAR,golgi
NM_006511,472084,TIMP,peroxisome
NM_036557,699544,TGF-B,ER
NM_037200,31315,KIN,peroxisome
NM_079957,554290,TNF,ER
NM_020882,970596,MAPK,nucleus
NM_059603,572342,TIMP,golgi
NM_010202,990132,JUN,mitochondria
NM_093263,150546,TIMP,cytosol
NM_078825,142957,MAPK,golgi
NM_048663,673311,LIP,golgi
NM_076586,819857,KIN,nucleus
NM_008331,28882,FOS,nucleus
NM_003626,542082,KIN,nucleus
NM_055765,379542,MAPK,mitochondria
NM_099234,694696,KAR,golgi
NM_090444,893066,MAPK,ER
NM_081629,476683,LIP,cytosol
NM_080177,994661,MAPK,golgi
NM_003103,647672,TGF-B,nucleus
NM_007515,68682,P53,mitochondria
NM_091234,81389,P53,ER
NM_033161,566099,MAPK,cytosol
NM_057736,184840,nuclear receptor,peroxisome
NM_039870,284791,TER,golgi
NM_071064,504420,MAPK,peroxisome
NM_030465,368305,TIMP,mitochondria
NM_022637,761331,KIN,nucleus
NM_017479,209526,KAR,peroxisome
NM_019091,166925,TGF-B,cytosol
NM_077039,185337,nuclear receptor,golgi
NM_045335,252632,KIN,ER
NM_034190,715923,LIP,golgi
NM_070066,36994,JUN,ER
NM_028172,255504,P53,golgi
NM_001090,775846,LIP,golgi
NM_027892,115915,FOS,golgi
NM_054444,891255,P53,cytosol
NM_098120,561112,TIMP,mitochondria
NM_074140,172287,TNF,peroxisome
NM_073094,515067,KIN,golgi
NM_024029,694607,TGF-B,mitochondria
NM_076237,645693,KAR,cytosol
NM_097793,860231,nuclear receptor,peroxisome
NM_061675,6811,KAR,nucleus
NM_009533,40705,JUN,golgi
NM_027724,590720,KIN,peroxisome
NM_097342,959130,nuclear receptor,mitochondria
NM_065048,776523,P53,cytosol
NM_036854,564171,TIMP,mitochondria
NM_050882,692173,FOS,ER
NM_035302,606259,TER,peroxisome
NM_047053,971028,JUN,cytosol
NM_018636,191385,JUN,ER
NM_070478,489622,KAR,golgi
NM_075863,653547,JUN,peroxisome
NM_084297,725739,nuclear receptor,ER
NM_031388,428291,TER,ER
NM_023708,77150,MAPK,ER
NM_072963,359649,JUN,mitochondria
NM_094818,975144,MAPK,ER
NM_021632,530105,KAR,golgi
NM_033828,785905,P53,golgi
NM_058978,105684,TIMP,mitochondria
NM_018190,355143,TIMP,cytosol
NM_029290,612976,TGF-B,golgi
NM_055016,741264,KIN,ER
NM_015725,800214,TER,peroxisome
NM_000114,230445,TER,ER
NM_075578,229352,KIN,mitochondria
NM_093849,853298,MAPK,nucleus
NM_045553,494390,TER,nucleus
NM_059011,836025,P53,nucleus
NM_050165,871594,JUN,peroxisome
NM_022366,635983,TIMP,mitochondria
