transcript ID,fold induction,family,location
NM_012775,402392,KAR,peroxisome
NM_082163,702240,KIN,mitochondria
NM_014059,729000,KAR,golgi
NM_033378,190744,MAPK,peroxisome
NM_080036,29159,TNF,ER
NM_065239,635822,KAR,golgi
NM_066673,611498,TGF-B,nucleus
NM_064994,358594,KAR,peroxisome
NM_094073,776789,TNF,peroxisome
NM_076161,836809,FOS,cytosol
NM_049400,671467,TIMP,peroxisome
NM_055129,451031,MAPK,golgi
NM_029697,406889,FOS,mitochondria
NM_024580,487088,TGF-B,peroxisome
NM_035647,597646,JUN,peroxisome
NM_086851,370277,P53,nucleus
NM_049771,367909,TGF-B,ER
NM_027870,216238,KAR,peroxisome
NM_036595,884990,JUN,mitochondria
NM_024929,47336,KIN,golgi
NM_061257,412514,MAPK,mitochondria
NM_078640,368262,KIN,nucleus
NM_080511,538176,nuclear receptor,ER
NM_050065,442034,MAPK,mitochondria
NM_081076,348372,KAR,ER
NM_069483,767099,KAR,nucleus
NM_040965,308370,KIN,golgi
NM_005548,998472,MAPK,mitochondria
NM_011690,735876,P53,cytosol
NM_069837,654327,nuclear receptor,nucleus
NM_002499,385434,KIN,nucleus
NM_091416,769909,P53,nucleus
NM_096245,259257,TIMP,mitochondria
NM_052242,205051,KIN,ER
NM_004230,362510,JUN,cytosol
NM_034249,989160,MAPK,ER
NM_091846,933715,TGF-B,mitochondria
NM_000181,386958,TIMP,mitochondria
NM_043324,10721,LIP,peroxisome
NM_003208,827731,nuclear receptor,golgi
NM_092211,805650,LIP,cytosol
NM_039634,65329,TGF-B,golgi
NM_061040,64094,TIMP,golgi
NM_029006,334583,TGF-B,nucleus
NM_060580,431006,P53,mitochondria
NM_061070,807039,P53,ER
NM_060583,733258,KIN,cytosol
NM_022116,67139,KAR,mitochondria
NM_086305,70047,TER,peroxisome
NM_092894,926671,TNF,nucleus
NM_061479,848301,KAR,cytosol
NM_039174,520102,TGF-B,peroxisome
NM_043089,389851,TER,cytosol
NM_065629,782109,FOS,peroxisome
NM_089344,313675,LIP,golgi
NM_026821,22421,TER,peroxisome
NM_064144,778390,MAPK,mitochondria
NM_062904,291514,MAPK,peroxisome
NM_098561,924835,TGF-B,cytosol
NM_018676,448348,KIN,peroxisome
NM_098075,624423,KAR,ER
NM_063956,814814,P53,ER
NM_091361,955904,FOS,nucleus
NM_015834,382032,P53,cytosol
NM_085684,463748,LIP,golgi
NM_032745,766044,TIMP,golgi
NM_035102,175416,FOS,cytosol
NM_004318,953574,TGF-B,mitochondria
NM_004858,66516,KIN,mitochondria
NM_048974,84478,MAPK,mitochondria
NM_062019,796538,FOS,peroxisome
NM_004717,786893,TER,cytosol
NM_021015,361711,TER,nucleus
NM_049511,101594,KIN,peroxisome
NM_007767,993619,TIMP,golgi
NM_004100,191070,TIMP,ER
NM_045244,429958,FOS,cytosol
NM_081676,818976,KIN,mitochondria
NM_093809,136351,TER,nucleus
NM_096046,35656,FOS,nucleus
NM_027961,119673,TER,golgi
NM_094138,370760,JUN,peroxisome
NM_036559,288184,TER,ER
NM_000631,278556,MAPK,nucleus
NM_039128,968789,KIN,cytosol
NM_074469,666166,P53,cytosol
NM_045408,608739,MAPK,nucleus
NM_055644,741407,TIMP,nucleus
NM_069632,77621,nuclear receptor,nucleus
NM_026463,352277,P53,golgi
NM_087452,909358,P53,peroxisome
NM_010119,431029,P53,cytosol
NM_067953,889630,TGF-B,cytosol
NM_057087,489620,KIN,cytosol
NM_065969,348353,nuclear receptor,mitochondria
NM_013185,169522,MAPK,cytosol
NM_041894,482853,nuclear receptor,mitochondria
NM_080929,595995,KIN,mitochondria
NM_097686,205474,P53,mitochondria
NM_099945,954467,TIMP,ER
NM_011567,546036,TNF,peroxisome
NM_028325,803097,TIMP,peroxisome
NM_052242,840833,TER,nucleus
NM_069248,773806,nuclear receptor,ER
NM_063729,838479,TER,mitochondria
NM_063972,403989,TNF,mitochondria
NM_006559,919265,KAR,ER
NM_026123,559345,KIN,peroxisome
NM_019135,907021,TNF,mitochondria
NM_033767,367165,JUN,mitochondria
NM_004779,931324,TGF-B,mitochondria
NM_057997,991688,LIP,ER
NM_026500,723681,FOS,peroxisome
NM_071370,686477,KAR,nucleus
NM_032290,855688,TIMP,golgi
NM_099565,304607,TER,golgi
NM_039390,489298,nuclear receptor,nucleus
NM_011021,962186,P53,mitochondria
NM_066463,823424,MAPK,nucleus
NM_096839,713515,MAPK,ER
NM_054922,655583,FOS,nucleus
NM_092391,459120,JUN,golgi
NM_059421,477283,TER,golgi
NM_093905,341945,LIP,peroxisome
NM_089295,65444,TNF,mitochondria
NM_007383,318741,LIP,nucleus
NM_010585,607493,KIN,ER
NM_031849,329224,JUN,nucleus
NM_018764,470225,KIN,ER
NM_033853,513336,FOS,peroxisome
NM_050072,516841,JUN,mitochondria
NM_090971,794420,P53,mitochondria
NM_063677,694672,P53,ER
NM_073985,333957,KAR,golgi
NM_056557,840363,nuclear receptor,mitochondria
NM_031075,638403,MAPK,cytosol
NM_000783,479277,TIMP,ER
NM_022334,351685,TNF,peroxisome
NM_073560,914984,P53,nucleus
NM_044768,579745,TER,nucleus
NM_036006,432474,KIN,ER
NM_078670,674927,KAR,peroxisome
NM_077852,71244,FOS,golgi
NM_033615,973356,JUN,golgi
NM_085114,850624,MAPK,mitochondria
NM_052385,259387,JUN,peroxisome
NM_093477,528248,MAPK,ER
NM_030054,168492,TNF,mitochondria
NM_045529,673135,P53,golgi
NM_035380,749790,TIMP,nucleus
NM_021755,464325,FOS,peroxisome
NM_013910,329293,TNF,golgi
NM_090182,961038,nuclear receptor,golgi
NM_099423,149141,FOS,peroxisome
NM_066749,606047,P53,ER
NM_081710,818459,TGF-B,nucleus
NM_077307,396649,P53,nucleus
NM_059950,579588,TER,cytosol
NM_071484,167103,TER,mitochondria
NM_026463,29694,KAR,ER
NM_054935,643163,LIP,peroxisome
NM_099929,97015,TIMP,peroxisome
NM_055467,740655,FOS,nucleus
NM_008009,282992,P53,mitochondria
NM_010380,775698,TER,cytosol
NM_060662,326189,MAPK,peroxisome
NM_087089,697371,KAR,nucleus
NM_049938,115245,TER,nucleus
NM_013606,140837,FOS,mitochondria
NM_081766,343579,nuclear receptor,nucleus
NM_078814,6303,P53,mitochondria
NM_003634,489360,FOS,peroxisome
NM_006127,744553,TER,cytosol
NM_059481,914226,JUN,peroxisome
NM_013660,153138,LIP,ER
NM_058060,71029,KIN,mitochondria
NM_068974,5742,FOS,nucleus
NM_072586,539983,LIP,cytosol
NM_068765,822396,nuclear receptor,nucleus
NM_099053,356791,FOS,ER
NM_076120,684111,TGF-B,nucleus
NM_083815,261049,KAR,nucleus
NM_038042,475055,LIP,golgi
NM_082524,262630,JUN,cytosol
NM_034107,604881,P53,cytosol
NM_056794,932519,KAR,nucleus
NM_060734,917027,TER,cytosol
NM_082072,41518,nuclear receptor,nucleus
NM_077703,971940,MAPK,ER
NM_017544,846590,JUN,peroxisome
NM_009408,578373,TNF,peroxisome
NM_064688,743805,MAPK,nucleus
NM_043535,709335,FOS,ER
NM_071498,531985,KAR,ER
NM_033988,431526,TIMP,nucleus
NM_084260,422806,TGF-B,mitochondria
NM_048149,971465,KAR,ER
NM_095209,290068,JUN,cytosol
NM_087621,89209,nuclear receptor,peroxisome
NM_091258,344051,TGF-B,peroxisome
NM_009074,459001,JUN,nucleus
NM_061838,12650,TNF,mitochondria
NM_025828,160547,nuclear receptor,golgi
NM_043905,427209,TGF-B,nucleus
NM_060821,296783,nuclear receptor,mitochondria
NM_087751,65841,JUN,peroxisome
NM_037930,452761,TER,ER
NM_034435,378353,TNF,mitochondria
NM_067779,718761,nuclear receptor,cytosol
NM_095164,807635,TER,mitochondria
NM_013471,870979,TER,cytosol
NM_084242,652978,KIN,mitochondria
NM_062145,336830,TER,nucleus
NM_048817,863315,MAPK,golgi
NM_001917,776831,nuclear receptor,golgi
NM_013653,595798,MAPK,golgi
NM_094535,509587,TGF-B,ER
NM_076210,764521,TGF-B,cytosol
NM_023261,285454,LIP,cytosol
NM_078041,44494,FOS,cytosol
NM_085380,386067,TGF-B,mitochondria
NM_060102,661098,KAR,ER
NM_080245,539917,nuclear receptor,mitochondria
NM_068529,413609,JUN,golgi
NM_033345,885388,TIMP,mitochondria
NM_073166,146503,TGF-B,golgi
NM_020071,251298,P53,mitochondria
NM_006503,482017,KAR,peroxisome
NM_077234,930174,nuclear receptor,cytosol
NM_032563,553559,KIN,peroxisome
NM_020748,492304,JUN,mitochondria
NM_010138,768545,MAPK,nucleus
NM_063691,139050,LIP,ER
NM_044587,835674,TGF-B,nucleus
NM_040337,285924,KAR,cytosol
NM_034288,60192,TNF,mitochondria
NM_083013,516938,TNF,ER
NM_049013,833782,MAPK,cytosol
NM_006811,715593,FOS,peroxisome
NM_017289,749490,P53,mitochondria
NM_070870,535156,nuclear receptor,nucleus
NM_001926,132521,TIMP,ER
NM_082590,265802,JUN,golgi
NM_007878,693512,P53,nucleus
NM_026103,878385,FOS,cytosol
NM_039502,606437,TER,peroxisome
NM_038399,480813,nuclear receptor,ER
NM_033480,216315,nuclear receptor,ER
NM_070159,290842,TIMP,ER
NM_024816,916585,TGF-B,ER
NM_014295,33418,TNF,nucleus
NM_088369,903863,KIN,nucleus
NM_003300,910528,FOS,mitochondria
NM_053933,281605,FOS,ER
NM_009529,477348,TGF-B,ER
