transcript ID,fold induction,family,location
NM_092598,665000,TIMP,nucleus
NM_041404,305879,TGF-B,ER
NM_017880,708581,nuclear receptor,mitochondria
NM_024668,816522,nuclear receptor,mitochondria
NM_002804,495832,LIP,peroxisome
NM_060243,147457,FOS,cytosol
NM_062721,328264,FOS,peroxisome
NM_082013,603448,JUN,mitochondria
NM_073128,693480,TER,nucleus
NM_074236,24561,TNF,cytosol
NM_060656,172216,JUN,cytosol
NM_038446,41105,MAPK,ER
NM_039714,47614,TGF-B,nucleus
NM_054474,82482,P53,mitochondria
NM_001914,800366,KAR,peroxisome
NM_068026,620309,KAR,golgi
NM_043449,202045,KAR,mitochondria
NM_079575,707818,KAR,golgi
NM_000703,284746,FOS,mitochondria
NM_085690,114448,TER,peroxisome
NM_098349,337104,KAR,nucleus
NM_001071,399299,P53,nucleus
NM_028903,774554,JUN,golgi
NM_098721,958308,TER,cytosol
NM_092428,770775,TIMP,nucleus
NM_001951,320838,TGF-B,mitochondria
NM_042861,629006,FOS,golgi
NM_024053,466029,MAPK,ER
NM_017160,199092,KAR,mitochondria
NM_047616,392568,nuclear receptor,peroxisome
NM_067454,813425,KIN,ER
NM_009917,66694,MAPK,mitochondria
NM_050256,282632,FOS,ER
NM_061277,284664,TNF,cytosol
NM_050094,883455,KIN,golgi
NM_038239,902092,TNF,ER
NM_036063,90272,TER,nucleus
NM_080410,402572,P53,mitochondria
NM_077947,632454,KAR,mitochondria
NM_049531,456425,TIMP,cytosol
NM_002631,831746,TIMP,ER
NM_063865,13651,KIN,ER
NM_079313,739306,nuclear receptor,mitochondria
NM_097084,407203,TGF-B,nucleus
NM_047990,641621,FOS,cytosol
NM_061516,227268,TGF-B,mitochondria
NM_011178,556140,nuclear receptor,cytosol
NM_005259,151339,TIMP,nucleus
NM_091813,226867,TER,ER
NM_031916,241754,TER,peroxisome
NM_053267,452479,TGF-B,mitochondria
NM_057001,532197,MAPK,mitochondria
NM_011585,136557,KAR,nucleus
NM_078251,375517,MAPK,mitochondria
NM_017211,873559,JUN,ER
NM_085606,649423,nuclear receptor,peroxisome
NM_029851,504953,LIP,mitochondria
NM_041499,104353,TIMP,golgi
NM_030989,723939,TIMP,nucleus
NM_014332,764536,FOS,peroxisome
NM_060831,864015,LIP,nucleus
NM_041876,669266,LIP,ER
NM_016767,650281,nuclear receptor,cytosol
NM_043509,92441,nuclear receptor,cytosol
NM_055032,697529,TIMP,nucleus
NM_054644,457332,LIP,golgi
NM_097026,432795,P53,cytosol
NM_052840,586194,nuclear receptor,mitochondria
NM_083022,186826,KIN,ER
NM_049547,352301,nuclear receptor,ER
NM_046573,405716,JUN,mitochondria
NM_056414,343311,nuclear receptor,ER
NM_058218,801431,TER,peroxisome
NM_070117,25465,nuclear receptor,mitochondria
NM_072446,404011,TER,golgi
NM_073015,715129,FOS,nucleus
NM_086044,289037,TER,golgi
NM_031392,64497,nuclear receptor,peroxisome
NM_026785,981613,FOS,mitochondria
NM_068833,925979,KIN,golgi
NM_088480,101062,TIMP,nucleus
NM_038943,21987,KIN,mitochondria
NM_046770,636954,MAPK,cytosol
NM_032973,175218,KIN,golgi
NM_057577,417877,TER,nucleus
NM_098806,354882,P53,peroxisome
NM_093201,390054,FOS,golgi
NM_035066,99207,TIMP,ER
NM_023713,148258,P53,golgi
NM_035147,577412,KAR,peroxisome
NM_051284,230186,JUN,mitochondria
NM_008544,818705,FOS,peroxisome
NM_041202,51852,MAPK,nucleus
NM_048192,649349,JUN,mitochondria
NM_029420,908709,TGF-B,mitochondria
NM_017489,196525,TER,mitochondria
NM_074142,847986,P53,mitochondria
NM_067770,479838,KAR,golgi
NM_053979,480045,TER,golgi
NM_082487,691195,LIP,mitochondria
NM_076747,480134,KIN,nucleus
NM_076397,143419,TIMP,golgi
NM_009785,985668,JUN,peroxisome
NM_047852,831845,LIP,mitochondria
NM_042424,22292,TER,ER
NM_043723,17540,LIP,mitochondria
NM_048994,707428,KIN,peroxisome
NM_079359,137789,TGF-B,ER
NM_052988,405141,KAR,nucleus
NM_014479,564263,LIP,cytosol
NM_069974,52993,nuclear receptor,nucleus
NM_031245,208993,TER,golgi
NM_008770,367302,nuclear receptor,peroxisome
NM_025663,502081,LIP,peroxisome
NM_099731,553453,TGF-B,ER
NM_003154,727186,KAR,cytosol
NM_057403,349726,TIMP,mitochondria
NM_052225,786221,JUN,peroxisome
NM_096544,250872,JUN,peroxisome
NM_093684,676170,TIMP,cytosol
NM_020313,920607,FOS,cytosol
NM_099354,794101,FOS,nucleus
NM_042028,893476,TIMP,nucleus
NM_046440,83667,JUN,peroxisome
NM_002474,454598,FOS,peroxisome
NM_006870,304137,FOS,ER
NM_055168,853219,FOS,ER
NM_010940,943082,LIP,peroxisome
NM_092537,476662,KAR,nucleus
NM_028824,851303,JUN,ER
NM_005215,278148,TIMP,ER
NM_034700,108399,TNF,peroxisome
NM_018964,790120,nuclear receptor,cytosol
NM_093715,811599,JUN,golgi
NM_036140,419785,nuclear receptor,nucleus
NM_028785,136818,KIN,golgi
NM_010862,227473,KAR,golgi
NM_027284,113711,LIP,ER
NM_004554,381276,TNF,golgi
NM_080849,995960,P53,golgi
NM_042223,541839,KIN,cytosol
NM_068916,312958,MAPK,mitochondria
NM_054300,405076,TGF-B,peroxisome
NM_068551,237823,MAPK,golgi
NM_096239,570451,JUN,ER
NM_028843,258490,TNF,nucleus
NM_003285,729485,nuclear receptor,nucleus
NM_041602,330816,TIMP,cytosol
NM_081375,492515,TER,nucleus
NM_088263,888376,P53,peroxisome
NM_065521,562701,LIP,ER
NM_028353,546458,TIMP,ER
NM_006428,961082,LIP,mitochondria
NM_076784,517392,JUN,cytosol
NM_017931,627720,LIP,nucleus
NM_023035,713980,TGF-B,nucleus
NM_027407,718212,MAPK,ER
NM_097404,323475,FOS,ER
NM_068011,451998,nuclear receptor,golgi
NM_001786,914042,MAPK,cytosol
NM_083859,467012,MAPK,mitochondria
NM_041079,855901,TIMP,mitochondria
NM_021447,394457,MAPK,cytosol
NM_079743,398941,KIN,mitochondria
NM_003864,481781,JUN,ER
NM_091071,257955,TNF,mitochondria
NM_019397,522124,TGF-B,mitochondria
NM_030576,421849,KAR,ER
