transcript ID,fold induction,family,location
NM_058073,132621,KAR,golgi
NM_076654,453063,P53,peroxisome
NM_063994,43503,KIN,peroxisome
NM_053157,158171,TGF-B,golgi
NM_090729,631722,FOS,golgi
NM_010983,246641,nuclear receptor,mitochondria
NM_073922,665739,TER,nucleus
NM_049530,390278,nuclear receptor,golgi
NM_046332,509570,TGF-B,peroxisome
NM_040534,592402,TGF-B,golgi
NM_098393,745578,JUN,cytosol
NM_079483,701783,KAR,peroxisome
NM_033273,756795,TGF-B,nucleus
NM_017148,712159,JUN,cytosol
NM_018672,183428,TGF-B,cytosol
NM_049837,913259,TIMP,ER
NM_027457,724696,MAPK,mitochondria
NM_089323,16218,TGF-B,peroxisome
NM_022291,887843,nuclear receptor,ER
NM_025246,994761,TNF,golgi
NM_016526,640065,TNF,nucleus
NM_062678,959195,nuclear receptor,cytosol
NM_068490,86647,FOS,nucleus
NM_001943,38923,P53,cytosol
NM_035425,190059,TIMP,nucleus
NM_042758,516155,MAPK,mitochondria
NM_084778,278213,JUN,mitochondria
NM_005202,910297,P53,golgi
NM_060574,230439,MAPK,ER
NM_069135,565795,FOS,mitochondria
NM_079480,705464,MAPK,ER
NM_077830,330475,FOS,nucleus
NM_048133,724686,LIP,mitochondria
NM_057995,383020,P53,mitochondria
NM_060255,494583,TNF,golgi
NM_089855,775635,FOS,golgi
NM_098811,871303,FOS,peroxisome
NM_026481,351911,KIN,peroxisome
NM_049846,406312,TER,golgi
NM_052589,405219,TER,mitochondria
NM_051512,728957,TGF-B,mitochondria
NM_089463,755765,FOS,golgi
NM_075638,112386,FOS,cytosol
NM_070250,975448,nuclear receptor,golgi
NM_010789,977034,FOS,peroxisome
NM_041515,829991,TER,peroxisome
NM_087865,775302,KAR,cytosol
NM_039660,959904,TNF,ER
NM_088475,950135,MAPK,ER
NM_074355,424647,TER,mitochondria
NM_051868,646843,JUN,peroxisome
NM_028063,118939,LIP,mitochondria
NM_091537,795764,KAR,peroxisome
NM_060504,279361,TER,mitochondria
NM_011714,147229,TNF,mitochondria
NM_028950,925353,FOS,mitochondria
NM_077234,803552,nuclear receptor,ER
NM_014044,275957,JUN,peroxisome
NM_074232,746512,TNF,peroxisome
NM_034855,854353,TER,mitochondria
NM_053439,788411,TIMP,cytosol
NM_091205,470458,P53,cytosol
NM_054524,171647,TER,cytosol
NM_051346,104271,JUN,peroxisome
NM_004573,827083,nuclear receptor,mitochondria
NM_092401,436096,KAR,ER
NM_004485,582789,JUN,cytosol
NM_059704,93356,FOS,ER
NM_048075,443223,FOS,ER
NM_028928,730644,P53,peroxisome
NM_014628,27970,KAR,golgi
NM_019989,864042,TGF-B,golgi
NM_014377,137929,KIN,nucleus
NM_032243,227038,TER,golgi
NM_071752,917383,TIMP,golgi
NM_056470,185374,LIP,peroxisome
NM_088440,199315,FOS,golgi
NM_019446,45653,P53,nucleus
NM_097748,16694,TIMP,nucleus
NM_097666,340262,KAR,cytosol
NM_039596,358083,nuclear receptor,nucleus
NM_068912,565334,KIN,cytosol
NM_062181,410921,KIN,nucleus
NM_080329,699515,FOS,cytosol
NM_040677,59489,TIMP,cytosol
NM_085467,506073,TIMP,mitochondria
NM_071966,404170,LIP,golgi
NM_090502,679365,KAR,mitochondria
NM_023132,783179,TER,golgi
NM_084736,711417,KIN,nucleus
NM_019796,933336,TER,mitochondria
NM_009892,192430,TNF,golgi
NM_037611,161055,MAPK,mitochondria
NM_075456,552303,TGF-B,cytosol
NM_008763,523299,TIMP,golgi
NM_042685,47639,TNF,nucleus
NM_031870,951472,KAR,peroxisome
NM_076312,92216,JUN,cytosol
NM_053500,242575,nuclear receptor,peroxisome
NM_056530,895001,nuclear receptor,nucleus
NM_058761,62321,TGF-B,cytosol
NM_014874,818049,JUN,mitochondria
NM_054636,165166,JUN,mitochondria
NM_063210,717865,TGF-B,ER
NM_087286,87336,LIP,mitochondria
NM_073621,623618,KAR,mitochondria
NM_077384,570906,JUN,nucleus
NM_088577,306657,KIN,peroxisome
NM_099477,133101,KIN,cytosol
NM_042733,990637,TNF,peroxisome
NM_078134,549735,KAR,mitochondria
NM_060754,822268,MAPK,nucleus
NM_041569,528106,TNF,nucleus
NM_024662,256674,P53,cytosol
NM_048429,829456,TER,mitochondria
NM_044133,444204,nuclear receptor,golgi
NM_042033,985148,MAPK,cytosol
NM_047672,453174,TNF,golgi
NM_092548,269284,TIMP,mitochondria
NM_071872,29287,TNF,ER
NM_015542,122081,TIMP,golgi
NM_051335,321541,KAR,mitochondria
NM_098268,864872,nuclear receptor,peroxisome
NM_023176,758369,P53,peroxisome
NM_025342,884564,KIN,peroxisome
NM_071030,773145,KAR,ER
NM_080359,262227,nuclear receptor,peroxisome
NM_040884,631390,TIMP,golgi
NM_073617,185930,TGF-B,cytosol
NM_030191,620453,LIP,golgi
NM_067383,478303,nuclear receptor,cytosol
NM_014320,167596,P53,cytosol
NM_013094,882940,nuclear receptor,nucleus
NM_001699,678136,P53,mitochondria
NM_076956,501027,P53,nucleus
NM_077121,339595,TER,cytosol
NM_058357,109409,KAR,nucleus
NM_005228,586916,P53,nucleus
NM_013298,761185,TGF-B,golgi
NM_097337,602792,TIMP,cytosol
NM_027273,676171,KAR,ER
NM_051895,418371,KIN,nucleus
NM_080820,397204,JUN,golgi
NM_019155,834346,MAPK,cytosol
NM_030522,208265,P53,nucleus
NM_018915,280380,TNF,golgi
NM_044990,499108,TIMP,peroxisome
NM_002616,716834,KIN,cytosol
NM_076593,356883,P53,mitochondria
NM_090921,388550,P53,cytosol
NM_075835,117806,MAPK,golgi
NM_071465,696170,MAPK,nucleus
NM_039860,942688,KIN,nucleus
NM_063154,78491,TER,cytosol
NM_080277,989346,LIP,nucleus
NM_046077,973378,MAPK,ER
NM_040799,752659,KIN,ER
NM_025281,875133,FOS,peroxisome
NM_075421,79479,P53,peroxisome
NM_003638,308505,nuclear receptor,golgi
NM_042472,904673,KAR,cytosol
NM_097769,223050,nuclear receptor,golgi
NM_099276,504701,nuclear receptor,ER
NM_016995,857462,KIN,nucleus
NM_066912,565816,MAPK,golgi
NM_060557,98493,TER,golgi
NM_039224,878373,KIN,golgi
NM_027886,34992,TER,golgi
NM_067796,217831,TGF-B,cytosol
NM_084201,108141,JUN,cytosol
NM_094796,214241,TER,nucleus
NM_057054,569991,TIMP,peroxisome
NM_000344,511068,TIMP,nucleus
NM_085826,77031,TNF,mitochondria
NM_035821,587235,JUN,golgi
NM_090185,430409,KAR,mitochondria
NM_070956,875004,P53,ER
NM_046655,234111,JUN,golgi
NM_075128,63382,KIN,nucleus
NM_048588,214797,LIP,mitochondria
NM_039887,203300,LIP,nucleus
NM_091340,400054,KAR,golgi
NM_032310,650623,P53,cytosol
NM_096690,815664,KIN,nucleus
NM_092571,170234,FOS,cytosol
NM_057739,47523,nuclear receptor,peroxisome
NM_079863,351762,TGF-B,mitochondria
NM_076797,24828,TNF,nucleus
NM_075471,108045,JUN,cytosol
NM_022654,879454,TIMP,cytosol
NM_039529,175956,P53,mitochondria
NM_040774,547510,nuclear receptor,nucleus
NM_059779,549762,TNF,ER
NM_070011,503547,nuclear receptor,mitochondria
NM_041106,93882,KIN,peroxisome
NM_031833,432206,LIP,peroxisome
NM_029406,36651,nuclear receptor,ER
NM_043050,125350,nuclear receptor,peroxisome
NM_036599,219540,TNF,nucleus
NM_056068,463187,KAR,peroxisome
NM_069159,496585,LIP,peroxisome
NM_058212,472232,nuclear receptor,golgi
NM_062608,876412,nuclear receptor,golgi
NM_006775,903202,P53,golgi
NM_013380,190896,LIP,mitochondria
NM_067786,662641,nuclear receptor,nucleus
NM_024443,786925,FOS,cytosol
NM_062404,758375,FOS,cytosol
NM_005714,695391,P53,nucleus
NM_037786,218723,FOS,golgi
NM_012900,820610,KIN,mitochondria
NM_067633,536224,KIN,mitochondria
NM_071799,182374,FOS,cytosol
NM_048821,256977,TIMP,peroxisome
NM_076687,53192,FOS,peroxisome
NM_012849,569843,KAR,ER
NM_086212,234144,LIP,ER
NM_038374,115511,TGF-B,ER
NM_009505,739165,MAPK,ER
NM_094132,685016,P53,mitochondria
NM_073494,992068,TGF-B,cytosol
NM_032701,858797,TIMP,mitochondria
NM_016540,739156,TIMP,mitochondria
NM_007518,379373,P53,ER
NM_089295,245645,KAR,nucleus
NM_001141,210111,TNF,mitochondria
NM_082984,987244,JUN,peroxisome
NM_015097,564752,TNF,cytosol
NM_087900,617873,KIN,peroxisome
NM_075543,538719,nuclear receptor,ER
NM_039180,625898,nuclear receptor,golgi
NM_070902,25584,nuclear receptor,mitochondria
NM_022485,145322,TGF-B,peroxisome
NM_098824,240857,MAPK,peroxisome
NM_025196,412571,nuclear receptor,ER
NM_095348,948866,LIP,golgi
NM_082260,957030,LIP,ER
NM_028661,57518,TIMP,cytosol
NM_044877,611315,KIN,golgi
NM_065792,886387,P53,golgi
NM_077484,53863,LIP,golgi
NM_015774,425091,LIP,nucleus
NM_019002,357858,FOS,nucleus
NM_044368,454196,KIN,golgi
NM_010804,274555,TER,golgi
NM_040877,168982,P53,nucleus
